DateTime,AddedIPs,RemovedIPs
1487979181,0,2
1487986381,0,2
1487993581,1,0
1487997181,1,0
1488000781,0,1
1488004381,1,0
1488011581,0,3
1488015182,1,1
1488022382,0,2
1488029581,0,1
1488036781,0,1
1488043981,0,1
1488065581,0,1
1488069181,1,10
1488083581,1,0
1488087181,0,2
1488090781,0,1
1488108781,0,3
1488119581,0,1
1488123181,0,1
1488141182,0,1
1488148381,1,0
1488159182,0,1
1488177181,0,1
1488184382,0,4
1488191581,0,2
1488198781,0,1
1488205982,0,1
1488216781,0,2
1488220381,1,0
1488223981,0,1
1488231181,0,1
1488238381,0,1
1488245581,0,1
1488249182,0,1
1488270781,0,1
1488277981,1,2
1488288781,1,1
1488292381,0,2
1488299581,1,0
1488306781,1,0
1488310381,3,1
1488321181,0,2
1488335582,0,1
1488342781,0,2
1488349981,1,0
1488353581,0,1
1488360782,3,0
1488364381,2,2
1488371581,1,0
1488378781,0,1
1488389581,0,1
1488396781,1,1
1488403981,1,1
1488407581,2,1
1488418381,0,1
1488421981,0,1
1488436381,0,1
1488439982,0,1
1488447181,3,0
1488450781,0,1
1488457981,0,1
1488461581,2,0
1488468781,1,1
1488472381,0,1
1488479581,1,2
1488483181,2,0
1488501181,0,1
1488515582,2,1
1488522781,1,0
1488533581,1,0
1488537181,1,0
1488544381,1,1
1488547981,1,0
1488558781,0,2
1488580381,1,1
1488587581,1,0
1488591181,1,0
1488598381,2,0
1488601981,2,0
1488609181,1,0
1488619981,0,1
1488623581,1,0
1488637981,0,2
1488645181,2,0
1488652381,0,1
1488659581,0,1
1488663181,1,0
1488677581,0,2
1488684781,0,1
1488691981,0,1
1488695581,1,0
1488702781,0,1
1488709981,0,1
1488713581,1,0
1488720781,0,1
1488724381,1,0
1488727981,1,0
1488735181,2,0
1488738781,1,1
1488742381,1,0
1488745981,2,0
1488753181,3,0
1488756781,1,0
1488774781,2,0
1488778381,2,0
1488785581,1,1
1488789182,1,1
1488803581,1,0
1488810782,0,1
1488825182,1,0
1488832381,1,0
1488839581,0,1
1488843181,1,0
1488853981,1,0
1488857581,1,0
1488861182,3,0
1488864781,0,1
1488886382,1,0
1488893581,0,1
1488911581,0,1
1488915181,1,0
1488922382,1,0
1488933181,1,1
1488965581,1,0
1488969181,0,2
1488976381,1,0
1488979981,0,1
1488983581,1,0
1488987181,0,2
1488990781,1,0
1488997981,0,1
1489005181,1,0
1489008781,0,1
1489012381,1,0
1489015981,1,0
1489019581,0,1
1489023182,1,0
1489026781,1,0
1489033981,1,0
1489037581,1,0
1489041181,1,2
1489048381,1,0
1489059181,1,0
1489062781,0,1
1489066381,1,0
1489073581,2,1
1489080781,1,0
1489084382,2,0
1489087981,1,0
1489091581,1,0
1489095181,1,0
1489105981,3,1
1489116781,0,2
1489123981,1,0
1489127581,1,1
1489131181,3,1
1489138381,0,2
1489156381,2,0
1489159981,1,0
1489163581,2,0
1489177981,1,0
1489181581,1,0
1489185181,2,0
1489188782,2,1
1489195981,0,1
1489199581,1,0
1489210381,2,1
1489213981,1,1
1489221181,2,0
1489224781,3,1
1489228381,1,0
1489235581,0,2
1489246382,1,0
1489249981,1,2
1489278781,1,0
1489285981,2,0
1489289581,0,1
1489307582,2,0
1489314782,0,2
1489318382,2,0
1489325581,1,0
1489339981,1,0
1489354381,1,0
1489357981,3,0
1489365181,1,0
1489368781,1,0
1489372381,1,0
1489375981,4,0
1489379581,1,0
1489386782,1,0
1489404781,2,0
1489415581,1,0
1489426382,1,0
1489433581,1,0
1489444381,1,0
1489447982,1,0
1489469581,0,1
1489491181,1,2
1489498381,1,0
1489516381,1,0
1489523581,1,1
1489527181,1,0
1489530781,1,0
1489534381,1,0
1489545181,1,1
1489548782,1,0
1489555981,2,0
1489563182,1,1
1489573981,0,1
1489581181,0,1
1489609981,0,1
1489613581,1,0
1489620781,0,1
1489631581,2,0
1489638781,2,0
1489660381,0,1
1489671181,0,1
1489674781,1,1
1489681981,1,0
1489685581,0,1
1489703581,0,3
1489707181,0,1
1489717982,2,0
1489721581,2,0
1489735981,2,0
1489739581,2,2
1489750381,0,1
1489761181,0,1
1489768381,1,0
1489775581,1,0
1489782781,0,1
1489793581,1,0
1489807981,1,0
1489811581,2,0
1489825981,0,1
1489840381,0,1
1489865581,0,1
1489879981,0,1
1489897981,0,1
1489919581,1,0
1489930381,1,0
1489941181,1,1
1489977181,1,0
1489984381,1,0
1489987981,0,1
1490002381,1,0
1490020381,0,1
1490027581,1,0
1490031181,1,0
1490045581,0,1
1490067181,0,1
1490070781,0,1
1490081581,2,1
1490092381,0,1
1490095981,1,0
1490099581,1,0
1490106781,3,0
1490113981,0,1
1490117582,0,1
1490135582,1,0
1490142781,0,1
1490153581,0,1
1490164381,0,1
1490171582,1,0
1490189581,1,0
1490203981,0,1
1490207581,2,0
1490211181,0,1
1490218381,1,0
1490221981,0,1
1490247181,0,2
1490250781,2,0
1490254381,1,0
1490275981,0,1
1490279582,1,0
1490290381,0,2
1490297581,2,0
1490301181,1,0
1490304782,1,1
1490319181,0,1
1490326381,0,1
1490358781,1,0
1490365981,1,0
1490369581,0,1
1490373181,1,0
1490387581,1,0
1490391181,0,1
1490394781,1,0
1490419981,1,0
1490423581,1,0
1490445181,0,1
1490459581,1,0
1490477582,1,1
1490481181,1,0
1490491981,1,0
1490495582,0,1
1490502782,0,1
1490506381,1,0
1490509981,1,0
1490531581,0,1
1490556781,0,1
1490563981,1,0
1490567581,2,0
1490574782,0,1
1490596381,0,1
1490599981,0,1
1490603581,0,1
1490617981,1,0
1490628781,1,0
1490632381,1,0
1490635981,0,1
1490643181,1,0
1490646781,23,0
1490650381,1,0
1490657581,1,0
1490664781,0,1
1490668381,11,0
1490671981,0,1
1490679181,2,2
1490689981,7,0
1490693582,1,0
1490704381,2,1
1490707981,1,0
1490718781,5,0
1490725981,10,0
1490729581,6,0
1490736781,4,1
1490740381,2,0
1490747581,5,1
1490751181,3,0
1490758381,1,1
1490761982,3,0
1490769181,1,0
1490772781,2,0
1490779981,4,0
1490783581,3,0
1490790781,3,0
1490805182,1,0
1490812381,1,0
1490815981,1,0
1490833981,0,1
1490837582,1,0
1490844781,3,1
1490848381,1,0
1490855581,2,1
1490866381,1,0
1490869982,0,1
1490880781,1,0
1490898781,2,1
1490909581,1,0
1490920381,1,1
1490923982,3,0
1490934781,4,1
1490952781,3,0
1490963581,2,0
1490974381,0,2
1490985181,12,0
1490988781,1,0
1490995981,0,1
1490999581,3,0
1491006781,3,0
1491024781,4,0
1491028381,2,0
1491031981,0,1
1491039181,1,0
1491049981,1,0
1491067981,1,0
1491078781,1,0
1491082381,1,0
1491107581,2,0
1491114782,2,2
1491125582,2,0
1491129181,1,0
1491139982,0,1
1491147181,0,1
1491150781,1,0
1491161582,1,0
1491168781,1,0
1491172382,0,1
1491179581,2,1
1491190381,0,1
1491193981,0,1
1491197581,3,0
1491201181,3,0
1491222781,0,1
1491233581,1,1
1491240782,3,1
1491251581,1,0
1491255181,0,1
1491265981,2,0
1491298381,1,0
1491301982,0,1
1491305581,1,0
1491309181,0,1
1491312781,1,0
1491327181,0,1
1491330781,1,0
1491341581,0,1
1491345622,0,2
1491359582,1,0
1491366781,0,2
1491381181,0,2
1491391981,0,1
1491399181,1,0
1491431581,1,0
1491435182,1,1
1491449581,0,1
1491453181,2,0
1491460381,0,1
1491463981,0,2
1491467581,1,0
1491474782,0,2
1491481981,1,1
1491485581,0,2
1491489181,0,1
1491503581,2,0
1491510781,2,1
1491514381,1,0
1491521581,1,0
1491525182,0,1
1491532381,1,0
1491535981,2,0
1491543181,0,1
1491557582,1,0
1491564781,0,1
1491579181,0,1
1491586381,0,1
1491589981,1,0
1491597181,0,1
1491600781,0,1
1491604381,0,1
1491618781,0,1
1491633181,1,0
1491640381,1,1
1491651181,2,0
1491654782,3,0
1491672781,0,1
1491676381,1,1
1491687181,0,1
1491715981,0,1
1491719581,2,0
1491737581,2,0
1491748381,0,2
1491755581,0,1
1491759181,0,1
1491769981,1,0
1491784381,0,1
1491791581,1,0
1491795182,1,0
1491809581,0,2
1491813181,0,1
1491816781,0,1
1491823981,0,2
1491838381,0,4
1491856381,1,0
1491867182,1,0
1491874381,1,0
1491881581,1,0
1491885181,0,1
1491892381,1,2
1491899581,0,1
1491913981,0,3
1491921181,0,1
1491931981,0,1
1491939181,0,1
1491946381,0,1
1491949981,2,0
1491964381,0,1
1491967981,0,4
1491975181,1,0
1491982381,1,1
1491985981,0,1
1492007581,0,1
1492014781,0,2
1492025581,1,0
1492029182,0,1
1492032781,0,1
1492050781,1,0
1492061581,1,0
1492101181,0,1
1492122781,0,2
1492140781,0,2
1492144381,0,1
1492147982,1,1
1492162381,0,1
1492169581,1,0
1492173181,0,1
1492180381,1,1
1492191181,1,0
1492198381,0,1
1492212781,0,1
1492230781,1,0
1492234382,0,3
1492266781,0,1
1492270381,0,1
1492281181,0,3
1492288381,0,2
1492295581,0,1
1492317182,0,2
