DateTime,AddedIPs,RemovedIPs
1484136534,0,1
1484140200,1,0
1484143741,0,1
1484147333,1,0
1484161904,0,1
1484165361,0,2
1484168950,1,0
1484176128,1,0
1484179722,3,0
1484190516,0,1
1484212120,0,2
1484215710,0,1
1484219318,1,1
1484233742,1,0
1484248117,0,1
1484251732,1,0
1484255332,1,1
1484258918,1,0
1484276921,1,0
1484298517,1,0
1484334585,0,2
1484338130,1,0
1484345328,0,1
1484348923,1,0
1484377712,1,0
1484424516,1,0
1484438922,0,1
1484442525,1,0
1484449723,0,1
1484460522,0,1
1484492923,0,1
1484496512,1,0
1484507309,1,0
1484532515,0,1
1484536123,0,1
1484550502,0,1
1484561315,1,0
1484575714,0,1
1484579314,0,1
1484586525,2,0
1484615308,0,1
1484690920,0,1
1484694528,1,0
1484784521,0,1
1484806123,1,0
1485014922,0,1
1485072516,0,1
1485076122,1,0
1485184095,0,1
1485195061,1,0
1485220128,0,1
1485230912,1,0
1485266921,0,1
1485270524,1,0
1485302905,1,0
1485400110,0,1
1485410915,1,0
1485468577,0,1
1485475736,1,0
1485569350,0,1
1485587311,1,0
1485601739,0,1
1485624349,1,0
1485709730,0,1
1485713326,1,0
1485745722,0,1
1485749324,0,1
1485760128,1,0
1486004927,0,1
1486019334,1,0
1486033727,0,2
1486037320,1,0
1486051909,1,1
1486066126,0,1
1486069727,1,0
1486080551,1,0
1486084111,0,1
1486087713,1,0
1486138114,1,1
1486145314,1,0
1486167266,0,1
1486170749,1,0
1486184916,0,1
1486188512,1,0
1486199302,1,0
1486213721,0,1
1486217328,1,0
1486231716,0,1
1486235316,1,0
1486242516,0,1
1486246129,1,1
1486249720,0,1
1486253313,2,0
1486260518,0,1
1486264121,1,0
1486274929,0,1
1486278513,0,1
1486282112,1,0
1486339714,1,0
1486346914,0,1
1486350522,1,0
1486372119,0,1
1486379310,1,0
1486382917,0,1
1486393711,0,1
1486411716,1,1
1486426120,1,0
1486444113,0,1
1486454910,1,0
1486465715,0,1
1486472916,1,0
1486523328,0,1
1486541373,0,1
1486548538,0,1
1486552147,2,0
1486620544,0,1
1486624173,1,0
1486638552,0,1
1486660187,1,0
1486674687,0,1
1486688934,2,0
1486696135,0,1
1486703328,0,2
1486706933,1,0
1486710538,0,1
1486724932,1,0
1486732137,0,1
1486735725,1,0
1486739336,1,0
1486753729,0,1
1486757329,1,0
1486760933,0,1
1486764531,1,1
1486771739,1,0
1486829330,0,1
1486847326,1,0
1486919981,0,1
1486944539,1,0
1486948141,1,0
1486998542,0,1
1487005730,0,1
1487009332,1,0
1487023739,0,1
1487030932,1,0
1487038132,1,0
1487052538,1,0
1487070750,0,1
1487081334,1,0
1487103111,1,0
1487117334,0,1
1487124538,1,0
1487128140,0,1
1487135322,0,1
1487138953,1,0
1487146127,0,1
1487156943,0,1
1487164152,1,0
1487203732,1,0
1487221727,0,2
1487380133,1,0
1487387355,0,1
1487394527,0,1
1487398132,0,1
1487408932,1,0
1487444928,0,1
1487448541,1,0
1487473750,0,1
1487498962,0,1
1487506128,1,0
1487534963,0,1
1487545751,1,0
1487552934,1,0
1487570940,0,1
1487725734,1,0
1487732932,1,0
1487740133,0,1
1487826524,0,1
1487848125,1,0
1487902126,1,0
1487916511,0,1
1487954572,0,1
1487963348,0,1
1487966916,1,0
1487988539,0,1
1487992140,1,0
1488042536,0,1
1488071334,1,0
1488074946,2,0
1488089336,0,1
1488092940,0,1
1488118141,0,1
1488128945,1,0
1488143342,1,1
1488146931,1,0
1488154163,4,0
1488164939,0,1
1488168538,0,4
1488182934,0,1
1488190136,1,0
1488200941,1,0
1488218944,0,1
1488222533,1,0
1488236984,1,0
1488244159,1,0
1488251341,0,1
1488287340,1,0
1488294546,0,1
1488301739,1,0
1488305348,0,1
1488312552,1,0
1488316138,0,2
1488323337,1,0
1488330545,5,0
1488334142,1,0
1488344955,0,4
1488352150,0,1
1488362948,0,1
1488366552,1,0
1488373749,1,1
1488380940,0,1
1488388126,0,1
1488391751,2,0
1488416927,1,0
1488431339,0,2
1488438536,0,1
1488445738,2,0
1488452940,1,0
1488460129,0,1
1488467342,0,1
1488470938,1,0
1488474537,1,0
1488488932,0,1
1488506921,4,1
1488521333,0,4
1488528536,0,1
1488542926,1,0
1488546542,1,0
1488568127,0,1
1488575331,0,1
1488582543,1,0
1488586131,2,0
1488589739,1,0
1488611334,0,1
1488622135,1,0
1488625740,0,1
1488640129,1,0
1488654542,0,1
1488672532,2,0
1488683323,0,1
1488744538,0,1
1488748144,1,0
1488770245,0,1
1488773823,1,0
1488856900,0,1
1488885348,1,0
1488914200,0,1
1488931869,1,0
1488939427,0,1
1488943273,1,0
1488946447,1,1
1488961256,0,1
1488964884,0,1
1488968398,1,0
1488972280,1,0
1488990059,0,1
1489015190,1,0
1489018449,1,1
1489022148,1,1
1489029444,0,2
1489033318,1,0
1489058166,0,1
1489072549,1,0
1489097913,0,1
1489105660,1,1
1489183748,0,1
1489194799,1,0
1489212579,0,1
1489223340,0,2
1489230514,2,0
1489244965,0,1
1489248529,1,0
1489255751,1,0
1489298937,0,1
1489302560,1,0
1489306174,0,2
1489309713,1,0
1489313369,1,0
1489327780,0,1
1489349376,0,1
1489356577,1,0
1489363802,2,0
1489367333,1,0
1489370954,0,1
1489385353,0,2
1489392496,1,1
